[START OF SIMULATION]
[0x00000000]	bun 0x00000004      	PC=0x00000010
[0x00000010]	ldw r1,r0,0x000E    	R1=MEM[(R0+0x000E)<<2]=0x00000001
[0x00000014]	ldw r2,r0,0x000F    	R2=MEM[(R0+0x000F)<<2]=0x0000000A
[0x00000018]	addi r3,r0,1        	FR=0x00000000,R3=R0+0x0001=0x00000001
[0x0000001C]	cmp r3,r2           	FR=0x00000002
[0x00000020]	bgt 0x0000000C      	PC=0x00000024
[0x00000024]	mul r1,r1,r3        	FR=0x00000002,ER=0x00000000,R1=R1*R3=0x00000001
[0x00000028]	addi r3,r3,1        	FR=0x00000002,R3=R3+0x0001=0x00000002
[0x0000002C]	bun 0x00000007      	PC=0x0000001C
[0x0000001C]	cmp r3,r2           	FR=0x00000002
[0x00000020]	bgt 0x0000000C      	PC=0x00000024
[0x00000024]	mul r1,r1,r3        	FR=0x00000002,ER=0x00000000,R1=R1*R3=0x00000002
[0x00000028]	addi r3,r3,1        	FR=0x00000002,R3=R3+0x0001=0x00000003
[0x0000002C]	bun 0x00000007      	PC=0x0000001C
[0x0000001C]	cmp r3,r2           	FR=0x00000002
[0x00000020]	bgt 0x0000000C      	PC=0x00000024
[0x00000024]	mul r1,r1,r3        	FR=0x00000002,ER=0x00000000,R1=R1*R3=0x00000006
[0x00000028]	addi r3,r3,1        	FR=0x00000002,R3=R3+0x0001=0x00000004
[0x0000002C]	bun 0x00000007      	PC=0x0000001C
[0x0000001C]	cmp r3,r2           	FR=0x00000002
[0x00000020]	bgt 0x0000000C      	PC=0x00000024
[0x00000024]	mul r1,r1,r3        	FR=0x00000002,ER=0x00000000,R1=R1*R3=0x00000018
[0x00000028]	addi r3,r3,1        	FR=0x00000002,R3=R3+0x0001=0x00000005
[0x0000002C]	bun 0x00000007      	PC=0x0000001C
[0x0000001C]	cmp r3,r2           	FR=0x00000002
[0x00000020]	bgt 0x0000000C      	PC=0x00000024
[0x00000024]	mul r1,r1,r3        	FR=0x00000002,ER=0x00000000,R1=R1*R3=0x00000078
[0x00000028]	addi r3,r3,1        	FR=0x00000002,R3=R3+0x0001=0x00000006
[0x0000002C]	bun 0x00000007      	PC=0x0000001C
[0x0000001C]	cmp r3,r2           	FR=0x00000002
[0x00000020]	bgt 0x0000000C      	PC=0x00000024
[0x00000024]	mul r1,r1,r3        	FR=0x00000002,ER=0x00000000,R1=R1*R3=0x000002D0
[0x00000028]	addi r3,r3,1        	FR=0x00000002,R3=R3+0x0001=0x00000007
[0x0000002C]	bun 0x00000007      	PC=0x0000001C
[0x0000001C]	cmp r3,r2           	FR=0x00000002
[0x00000020]	bgt 0x0000000C      	PC=0x00000024
[0x00000024]	mul r1,r1,r3        	FR=0x00000002,ER=0x00000000,R1=R1*R3=0x000013B0
[0x00000028]	addi r3,r3,1        	FR=0x00000002,R3=R3+0x0001=0x00000008
[0x0000002C]	bun 0x00000007      	PC=0x0000001C
[0x0000001C]	cmp r3,r2           	FR=0x00000002
[0x00000020]	bgt 0x0000000C      	PC=0x00000024
[0x00000024]	mul r1,r1,r3        	FR=0x00000002,ER=0x00000000,R1=R1*R3=0x00009D80
[0x00000028]	addi r3,r3,1        	FR=0x00000002,R3=R3+0x0001=0x00000009
[0x0000002C]	bun 0x00000007      	PC=0x0000001C
[0x0000001C]	cmp r3,r2           	FR=0x00000002
[0x00000020]	bgt 0x0000000C      	PC=0x00000024
[0x00000024]	mul r1,r1,r3        	FR=0x00000002,ER=0x00000000,R1=R1*R3=0x00058980
[0x00000028]	addi r3,r3,1        	FR=0x00000002,R3=R3+0x0001=0x0000000A
[0x0000002C]	bun 0x00000007      	PC=0x0000001C
[0x0000001C]	cmp r3,r2           	FR=0x00000001
[0x00000020]	bgt 0x0000000C      	PC=0x00000024
[0x00000024]	mul r1,r1,r3        	FR=0x00000001,ER=0x00000000,R1=R1*R3=0x00375F00
[0x00000028]	addi r3,r3,1        	FR=0x00000001,R3=R3+0x0001=0x0000000B
[0x0000002C]	bun 0x00000007      	PC=0x0000001C
[0x0000001C]	cmp r3,r2           	FR=0x00000004
[0x00000020]	bgt 0x0000000C      	PC=0x00000030
[0x00000030]	stw r0,0x000E,r1    	MEM[(R0+0x000E)<<2]=R1=0x00375F00
[0x00000034]	int 0               	CR=0x00000000,PC=0x00000000
[END OF SIMULATION]
