[START OF SIMULATION]
[0x00000000]	call r0,r0,0x0012   	R0=(PC+4)>>2=0x00000000,PC=(R0+0x0012)<<2=0x00000048
[0x00000048]	addi r1,r0,23       	FR=0x00000000,R1=R0+0x0017=0x00000017
[0x0000004C]	ldw r2,r0,0x0016    	R2=MEM[(R0+0x0016)<<2]=0x0000000A
[0x00000050]	call r3,r0,0x0004   	R3=(PC+4)>>2=0x00000015,PC=(R0+0x0004)<<2=0x00000010
[0x00000010]	addi r4,r0,0        	FR=0x00000000,R4=R0+0x0000=0x00000000
[0x00000014]	addi r5,r0,0        	FR=0x00000000,R5=R0+0x0000=0x00000000
[0x00000018]	addi r6,r0,1        	FR=0x00000000,R6=R0+0x0001=0x00000001
[0x0000001C]	addi r4,r0,1        	FR=0x00000000,R4=R0+0x0001=0x00000001
[0x00000020]	cmp r4,r2           	FR=0x00000002
[0x00000024]	bge 0x00000011      	PC=0x00000028
[0x00000028]	add r7,r1,r4        	FR=0x00000002,R7=R1+R4=0x00000018
[0x0000002C]	add r8,r5,r6        	FR=0x00000002,R8=R5+R6=0x00000001
[0x00000030]	addi r6,r5,0        	FR=0x00000002,R6=R5+0x0000=0x00000000
[0x00000034]	addi r5,r8,0        	FR=0x00000002,R5=R8+0x0000=0x00000001
[0x00000038]	stw r7,0x0000,r8    	MEM[(R7+0x0000)<<2]=R8=0x00000001
[0x0000003C]	addi r4,r4,1        	FR=0x00000002,R4=R4+0x0001=0x00000002
[0x00000040]	bun 0x00000008      	PC=0x00000020
[0x00000020]	cmp r4,r2           	FR=0x00000002
[0x00000024]	bge 0x00000011      	PC=0x00000028
[0x00000028]	add r7,r1,r4        	FR=0x00000002,R7=R1+R4=0x00000019
[0x0000002C]	add r8,r5,r6        	FR=0x00000002,R8=R5+R6=0x00000001
[0x00000030]	addi r6,r5,0        	FR=0x00000002,R6=R5+0x0000=0x00000001
[0x00000034]	addi r5,r8,0        	FR=0x00000002,R5=R8+0x0000=0x00000001
[0x00000038]	stw r7,0x0000,r8    	MEM[(R7+0x0000)<<2]=R8=0x00000001
[0x0000003C]	addi r4,r4,1        	FR=0x00000002,R4=R4+0x0001=0x00000003
[0x00000040]	bun 0x00000008      	PC=0x00000020
[0x00000020]	cmp r4,r2           	FR=0x00000002
[0x00000024]	bge 0x00000011      	PC=0x00000028
[0x00000028]	add r7,r1,r4        	FR=0x00000002,R7=R1+R4=0x0000001A
[0x0000002C]	add r8,r5,r6        	FR=0x00000002,R8=R5+R6=0x00000002
[0x00000030]	addi r6,r5,0        	FR=0x00000002,R6=R5+0x0000=0x00000001
[0x00000034]	addi r5,r8,0        	FR=0x00000002,R5=R8+0x0000=0x00000002
[0x00000038]	stw r7,0x0000,r8    	MEM[(R7+0x0000)<<2]=R8=0x00000002
[0x0000003C]	addi r4,r4,1        	FR=0x00000002,R4=R4+0x0001=0x00000004
[0x00000040]	bun 0x00000008      	PC=0x00000020
