[START OF SIMULATION]
[0x00000000]	bun 0x00000004      	PC=0x00000010
[0x00000010]	ldw r1,r0,0x001A    	R1=MEM[(R0+0x001A)<<2]=0xFFFFFFFF
[0x00000014]	ldw r2,r0,0x001B    	R2=MEM[(R0+0x001B)<<2]=0x0000AAAA
[0x00000018]	ldw r3,r0,0x001C    	R3=MEM[(R0+0x001C)<<2]=0xBBBB0000
[0x0000001C]	addi r4,r1,2        	FR=0x00000010,R4=R1+0x0002=0x00000001
[0x00000020]	divi r4,r1,0        	FR=0x00000018,ER=0x00000000,R4=R1/0x0000=0x00000001
[0x00000024]	cmp pc,pc           	FR=0x00000019
[0x00000028]	cmpi r4,0           	FR=0x0000001C
[0x0000002C]	cmpi r4,1           	FR=0x00000019
[0x00000030]	cmpi r4,2           	FR=0x0000001A
[0x00000034]	shl r0,r1,47        	ER=0xFFFF0000,R0=R1<<48=0x00000000
[0x00000038]	shl r2,r2,15        	ER=0x00000000,R2=R2<<16=0xAAAA0000
[0x0000003C]	shl r3,r3,7         	ER=0x000000BB,R3=R3<<8=0xBB000000
[0x00000040]	shr r3,r3,23        	ER=0x00000000,R3=R3>>24=0x0000BBBB
[0x00000044]	addi r5,r0,29       	FR=0x0000000A,R5=R0+0x001D=0x0000001D
[0x00000048]	shl r5,r5,1         	ER=0x00000000,R5=R5<<2=0x00000074
[0x0000004C]	ldb r6,r5,0x0000    	R6=MEM[R5+0x0000]=0x41
[0x00000050]	ldb r7,r5,0x0002    	R7=MEM[R5+0x0002]=0x43
[0x00000054]	stb r5,0x0000,r7    	MEM[R5+0x0000]=R7=0x43
[0x00000058]	stb r5,0x0002,r6    	MEM[R5+0x0002]=R6=0x41
[0x0000005C]	muli r10,r1,11      	FR=0x0000001A,ER=0x0000000A,R10=R1*0x000B=0xFFFFFFF5
[0x00000060]	add r31,r0,fr       	FR=0x0000000A,R31=R0+FR=0x0000001A
[0x00000064]	int 0               	CR=0x00000000,PC=0x00000000
[END OF SIMULATION]
