[START OF SIMULATION]
[0x00000000]	call r0,r0,0x0010   	R0=(PC+4)>>2=0x00000000,PC=(R0+0x0010)<<2=0x00000040
[0x00000040]	addi r1,r0,10       	FR=0x00000000,R1=R0+0x000A=0x0000000A
[0x00000044]	ldw r2,r0,0x0017    	R2=MEM[(R0+0x0017)<<2]=0x00000000
[0x00000048]	addi r3,r0,24       	FR=0x00000000,R3=R0+0x0018=0x00000018
[0x0000004C]	addi r3,r3,19       	FR=0x00000000,R3=R3+0x0013=0x0000002B
[0x00000050]	call r4,r0,0x0004   	R4=(PC+4)>>2=0x00000015,PC=(R0+0x0004)<<2=0x00000010
[0x00000010]	cmpi r1,0           	FR=0x00000004
[0x00000014]	bne 0x00000008      	PC=0x00000020
[0x00000020]	push r3,r4          	MEM[R3->0x000000AC]=R4=0x00000015
[0x00000024]	push r3,r1          	MEM[R3->0x000000A8]=R1=0x0000000A
[0x00000028]	subi r1,r1,1        	FR=0x00000004,R1=R1-0x0001=0x00000009
[0x0000002C]	call r4,r0,0x0004   	R4=(PC+4)>>2=0x0000000C,PC=(R0+0x0004)<<2=0x00000010
[0x00000010]	cmpi r1,0           	FR=0x00000004
[0x00000014]	bne 0x00000008      	PC=0x00000020
[0x00000020]	push r3,r4          	MEM[R3->0x000000A4]=R4=0x0000000C
[0x00000024]	push r3,r1          	MEM[R3->0x000000A0]=R1=0x00000009
[0x00000028]	subi r1,r1,1        	FR=0x00000004,R1=R1-0x0001=0x00000008
[0x0000002C]	call r4,r0,0x0004   	R4=(PC+4)>>2=0x0000000C,PC=(R0+0x0004)<<2=0x00000010
[0x00000010]	cmpi r1,0           	FR=0x00000004
[0x00000014]	bne 0x00000008      	PC=0x00000020
[0x00000020]	push r3,r4          	MEM[R3->0x0000009C]=R4=0x0000000C
[0x00000024]	push r3,r1          	MEM[R3->0x00000098]=R1=0x00000008
[0x00000028]	subi r1,r1,1        	FR=0x00000004,R1=R1-0x0001=0x00000007
[0x0000002C]	call r4,r0,0x0004   	R4=(PC+4)>>2=0x0000000C,PC=(R0+0x0004)<<2=0x00000010
[0x00000010]	cmpi r1,0           	FR=0x00000004
[0x00000014]	bne 0x00000008      	PC=0x00000020
[0x00000020]	push r3,r4          	MEM[R3->0x00000094]=R4=0x0000000C
[0x00000024]	push r3,r1          	MEM[R3->0x00000090]=R1=0x00000007
[0x00000028]	subi r1,r1,1        	FR=0x00000004,R1=R1-0x0001=0x00000006
[0x0000002C]	call r4,r0,0x0004   	R4=(PC+4)>>2=0x0000000C,PC=(R0+0x0004)<<2=0x00000010
[0x00000010]	cmpi r1,0           	FR=0x00000004
[0x00000014]	bne 0x00000008      	PC=0x00000020
[0x00000020]	push r3,r4          	MEM[R3->0x0000008C]=R4=0x0000000C
[0x00000024]	push r3,r1          	MEM[R3->0x00000088]=R1=0x00000006
