[START OF SIMULATION]
[0x00000000]	call r0,r0,0x0004   	R0=(PC+4)>>2=0x00000000,PC=(R0+0x0004)<<2=0x00000010
[0x00000010]	addi r1,r0,0        	FR=0x00000000,R1=R0+0x0000=0x00000000
[0x00000014]	cmpi r1,64          	FR=0x00000002
[0x00000018]	bge 0x0000000D      	PC=0x0000001C
[0x0000001C]	stw r1,0x000E,r1    	MEM[(R1+0x000E)<<2]=R1=0x00000000
[0x00000020]	ldw r2,r1,0x000E    	R2=MEM[(R1+0x000E)<<2]=0x00000000
[0x00000024]	addi r2,r2,1        	FR=0x00000002,R2=R2+0x0001=0x00000001
[0x00000028]	stw r1,0x000E,r2    	MEM[(R1+0x000E)<<2]=R2=0x00000001
[0x0000002C]	addi r1,r1,1        	FR=0x00000002,R1=R1+0x0001=0x00000001
[0x00000030]	bun 0x00000005      	PC=0x00000014
[0x00000014]	cmpi r1,64          	FR=0x00000002
[0x00000018]	bge 0x0000000D      	PC=0x0000001C
[0x0000001C]	stw r1,0x000E,r1    	MEM[(R1+0x000E)<<2]=R1=0x00000001
[0x00000020]	ldw r2,r1,0x000E    	R2=MEM[(R1+0x000E)<<2]=0x00000001
[0x00000024]	addi r2,r2,1        	FR=0x00000002,R2=R2+0x0001=0x00000002
[0x00000028]	stw r1,0x000E,r2    	MEM[(R1+0x000E)<<2]=R2=0x00000002
[0x0000002C]	addi r1,r1,1        	FR=0x00000002,R1=R1+0x0001=0x00000002
[0x00000030]	bun 0x00000005      	PC=0x00000014
[0x00000014]	cmpi r1,64          	FR=0x00000002
[0x00000018]	bge 0x0000000D      	PC=0x0000001C
[0x0000001C]	stw r1,0x000E,r1    	MEM[(R1+0x000E)<<2]=R1=0x00000002
[0x00000020]	ldw r2,r1,0x000E    	R2=MEM[(R1+0x000E)<<2]=0x00000002
[0x00000024]	addi r2,r2,1        	FR=0x00000002,R2=R2+0x0001=0x00000003
[0x00000028]	stw r1,0x000E,r2    	MEM[(R1+0x000E)<<2]=R2=0x00000003
[0x0000002C]	addi r1,r1,1        	FR=0x00000002,R1=R1+0x0001=0x00000003
[0x00000030]	bun 0x00000005      	PC=0x00000014
[0x00000014]	cmpi r1,64          	FR=0x00000002
[0x00000018]	bge 0x0000000D      	PC=0x0000001C
[0x0000001C]	stw r1,0x000E,r1    	MEM[(R1+0x000E)<<2]=R1=0x00000003
[0x00000020]	ldw r2,r1,0x000E    	R2=MEM[(R1+0x000E)<<2]=0x00000003
[0x00000024]	addi r2,r2,1        	FR=0x00000002,R2=R2+0x0001=0x00000004
[0x00000028]	stw r1,0x000E,r2    	MEM[(R1+0x000E)<<2]=R2=0x00000004
[0x0000002C]	addi r1,r1,1        	FR=0x00000002,R1=R1+0x0001=0x00000004
[0x00000030]	bun 0x00000005      	PC=0x00000014
[0x00000014]	cmpi r1,64          	FR=0x00000002
[0x00000018]	bge 0x0000000D      	PC=0x0000001C
